X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
7.060208,50.765508,0,0,199,103.451136,2020/09/13 14:51:29.518+00,,,,,,,,,,,,,,,,,,,,,
7.060333,50.765596,0,0,200,103.311725,2020/09/13 14:51:31.516+00,,,,,,,,,,,,,,,,,,,,,
7.06045,50.765681,0,0,201,103.18194,2020/09/13 14:51:33.545+00,,,,,,,,,,,,,,,,,,,,,
7.060578,50.765775,0,0,202,103.039264,2020/09/13 14:51:35.525+00,,,,,,,,,,,,,,,,,,,,,
7.060702,50.76586,0,0,203,102.906251,2020/09/13 14:51:37.526+00,,,,,,,,,,,,,,,,,,,,,
7.060815,50.765949,0,0,204,102.774975,2020/09/13 14:51:39.515+00,,,,,,,,,,,,,,,,,,,,,
7.060937,50.766038,0,0,205,102.639503,2020/09/13 14:51:41.514+00,,,,,,,,,,,,,,,,,,,,,
7.061064,50.766129,0,0,206,102.499906,2020/09/13 14:51:43.511+00,,,,,,,,,,,,,,,,,,,,,
7.061191,50.766221,0,0,207,102.359444,2020/09/13 14:51:45.517+00,,,,,,,,,,,,,,,,,,,,,
7.061331,50.76632,0,0,208,102.206688,2020/09/13 14:51:47.519+00,,,,,,,,,,,,,,,,,,,,,
7.061479,50.766423,0,0,209,102.046619,2020/09/13 14:51:49.515+00,,,,,,,,,,,,,,,,,,,,,
7.061613,50.766527,0,0,210,101.892323,2020/09/13 14:51:51.514+00,,,,,,,,,,,,,,,,,,,,,
7.061754,50.766628,0,0,211,101.737365,2020/09/13 14:51:53.518+00,,,,,,,,,,,,,,,,,,,,,
7.061893,50.766725,0,0,212,101.586806,2020/09/13 14:51:55.550+00,,,,,,,,,,,,,,,,,,,,,
7.062036,50.766821,0,0,213,101.435116,2020/09/13 14:51:57.527+00,,,,,,,,,,,,,,,,,,,,,
7.062181,50.766919,0,0,214,101.280755,2020/09/13 14:51:59.523+00,,,,,,,,,,,,,,,,,,,,,
7.062325,50.767021,0,0,215,101.11388,2020/09/13 14:52:01.514+00,,,,,,,,,,,,,,,,,,,,,
